index,Name,Location,Rank,Description,Tuition and fees,In-state,Undergrad Enrollment
0,Princeton University,"Princeton, NJ",1,"Princeton, the fourth-oldest college in the United States, is located in the quiet town of Princeton...","$45,320 ","$13,509 ","5,402"
1,Harvard University,"Cambridge, MA",2,"Harvard is located in Cambridge, Massachusetts, just outside of Boston. Harvard's extensive library ...","$47,074 ","$12,836 ","6,699"
2,University of Chicago,"Chicago, IL",3,"The University of Chicago, situated in Chicago's Hyde Park community, offers a rich campus life in a...","$52,491 ","$15,722 ","5,844"
3,Yale University,"New Haven, CT",3,"Yale University, located in New Haven, Connecticut, is known for its excellent drama and music progr...","$49,480 ","$13,856 ","5,532"
4,Columbia University,"New York, NY",5,"Columbia University, located in Manhattan's Morningside Heights neighborhood in New York City, offer...","$55,056 ","$8,834 ","6,102"
5,Stanford University,"Stanford, CA",5,"Stanford University's pristine campus is located in California's Bay Area, about 30 miles from San F...","$47,940 ","$18,687 ","6,999"
6,Massachusetts Institute of Technology,"Cambridge, MA",7,"MIT is located in Cambridge, Massachusetts, across the Charles River from downtown Boston. Only fres...","$48,452 ","$12,212 ","4,527"
7,Duke University,"Durham, NC",8,"Durham, North Carolina, which surrounds Duke's campus, offers a variety of activities including shop...","$51,265 ","$14,022 ","6,639"
8,University of Pennsylvania,"Philadelphia, PA",8,"The University of Pennsylvania, located in Philadelphia, was founded by Benjamin Franklin. The Penn ...","$51,464 ","$14,750 ","9,726"
9,Johns Hopkins University,"Baltimore, MD",10,"Johns Hopkins University has four main campuses in and around Baltimore. The Homewood Campus, locate...","$50,410 ","$14,046 ","6,524"
10,Dartmouth College,"Hanover, NH",11,"Dartmouth College, located in Hanover, New Hampshire, offers a wide range of student activities. Nea...","$51,438 ","$14,705 ","4,307"
11,California Institute of Technology,"Pasadena, CA",12,"Caltech, which focuses on science and engineering, is located in Pasadena, California, approximately...","$47,577 ","$15,698 ","1,001"
12,Northwestern University,"Evanston, IL",12,What began as farmland and swampland in the 1850s became the Northwestern campus and the city of Eva...,"$50,855 ","$10,488 ","8,314"
13,Brown University,"Providence, RI",14,"Located atop College Hill in Providence, R.I., Brown University has a college-town feel with Thayer ...","$51,367 ","$6,389 ","6,652"
14,Cornell University,"Ithaca, NY",15,"Cornell University, located in Ithaca, New York, has more than 1,000 student organizations on campus...","$50,953 ","$17,900 ","14,315"
15,Rice University,"Houston, TX",15,"Rice University, located in the heart of Houston's Museum District, offers a dynamic student life in...","$43,918 ","$10,037 ","3,910"
16,University of Notre Dame,"Notre Dame, IN",15,"Notre Dame is located in South Bend, Ind., just 100 miles outside of Chicago. Only freshmen are requ...","$49,685 ","$10,753 ","8,462"
17,Vanderbilt University,"Nashville, TN",15,"Vanderbilt University offers a wide range of student activities. Located in Nashville, or Music City...","$45,610 ","$11,634 ","6,883"
18,Washington University in St. Louis,"St. Louis, MO",19,"Washington University in St. Louis is located in a city that offers professional sports in football,...","$49,770 ","$9,806 ","7,504"
19,Emory University,"Atlanta, GA",20,Emory University is located in the suburb of Druid Hills near downtown Atlanta. First- and second-ye...,"$47,954 ","$10,002 ","6,867"
20,Georgetown University,"Washington, DC",20,Georgetown University is situated overlooking the Potomac River just a few minutes from downtown Was...,"$50,547 ","$14,066 ","7,562"
21,University of California--Berkeley,"Berkeley, CA",20,"The University of California--Berkeley, often referred to as Cal, is situated overlooking the San Fr...","$40,191 ","$10,181 ","27,496"
22,University of Southern California,"Los Angeles, CA",23,"The University of Southern California's central campus, referred to as the University Park campus, i...","$52,217 ","$14,240 ","18,810"
23,Carnegie Mellon University,"Pittsburgh, PA",24,"Carnegie Mellon University, founded by industrialist and philanthropist Andrew Carnegie, is located ...","$52,040 ","$18,618 ","6,454"
24,University of California--Los Angeles,"Los Angeles, CA",24,"The University of California--Los Angeles, commonly referred to as UCLA, is located in the Westwood ...","$39,518 ","$14,372 ","29,585"
25,University of Virginia,"Charlottesville, VA",24,"Founded by Thomas Jefferson, the University of Virginia is located in Charlottesville. It's referred...","$45,066 ","$13,790 ","16,736"
26,Tufts University,"Medford, MA",27,"Tufts University is located in the Medford/Somerville area of Massachusetts, not far from downtown B...","$52,430 ","$10,176 ","5,290"
27,University of Michigan--Ann Arbor,"Ann Arbor, MI",27,"The University of Michigan boasts one of the best college towns in the country: Ann Arbor, only 45 m...","$43,476 ","$13,790 ","28,312"
28,Wake Forest University,"Winston-Salem, NC",27,"Wake Forest University is located in Winston-Salem, North Carolina, just a few hours by car from ski...","$49,308 ","$12,852 ","4,871"
29,University of North Carolina--Chapel Hill,"Chapel Hill, NC",30,"The University of North Carolina--Chapel Hill, often referred to as UNC, offers a wide range of stud...","$33,916 ","$14,288 ","18,415"
30,Boston College,"Chestnut Hill, MA",31,Boston College was founded by the Society of Jesus and has maintained its Roman Catholic Jesuit reli...,"$51,296 ","$13,559 ","9,192"
31,College of William & Mary,"Williamsburg, VA",32,The College of William and Mary is second oldest college in the country. It was founded by King Will...,"$41,718 ","$12,520 ","6,301"
32,University of Rochester,"Rochester, NY",32,The University of Rochester describes itself as one of the smallest and most collegiate schools amon...,"$50,142 ","$17,383 ","6,304"
33,Brandeis University,"Waltham, MA",34,"Brandeis University is located in Waltham, Mass., just nine miles west of Boston. Students are guara...","$51,570 ","$14,070 ","3,621"
34,Georgia Institute of Technology,"Atlanta, GA",34,"Georgia Tech, located in the heart of Atlanta, offers a wide range of student activities. The Georgi...","$32,404 ","$8,325 ","15,142"
35,New York University,"New York, NY",36,New York University's primary campus is located in the lively Greenwich Village neighborhood of Manh...,"$49,062 ","$9,044 ","25,722"
36,Case Western Reserve University,"Cleveland, OH",37,"Case Western Reserve University is known for its world class research, but with more than 150 studen...","$46,006 ","$10,388 ","5,121"
37,University of California--Santa Barbara,"Santa Barbara, CA",37,"Located 100 miles up the coast from Los Angeles, the University of California--Santa Barbara sits at...","$40,704 ","$9,507 ","20,607"
38,Boston University,"Boston, MA",39,"Boston University is one of the largest independent, nonprofit universities in the country. The BU T...","$50,240 ","$8,880 ","17,932"
39,Northeastern University,"Boston, MA",39,"At Northeastern University, students gain substantial work experience before receiving their diploma...","$47,655 ","$11,531 ","13,697"
